notes: n=200, m=13468, elb=1, eub=20, conf_density=0.0003, clb=25, cub= 200, seed= 5361
p spec 200 13468 27206
s 186
t 124
a 0 1 2
a 0 2 5
a 0 3 3
a 0 4 1
a 0 5 5
a 0 6 8
a 0 7 9
a 0 8 13
a 0 9 15
a 0 10 12
a 0 11 3
a 0 12 11
a 0 13 5
a 0 14 15
a 0 15 13
a 0 16 18
a 0 17 17
a 0 18 14
a 0 19 12
a 0 20 2
a 0 21 16
a 0 22 1
a 0 23 17
a 0 24 17
a 0 25 13
a 0 26 10
a 0 27 5
a 0 28 11
a 0 29 1
a 0 30 3
a 0 31 8
a 0 32 9
a 0 33 10
a 0 34 13
a 0 35 19
a 0 36 6
a 0 37 15
a 0 38 19
a 0 39 13
a 0 40 7
a 0 41 1
a 0 42 19
a 0 43 8
a 0 44 10
a 0 45 7
a 0 108 4
a 0 143 3
a 0 158 4
a 0 51 6
a 0 164 8
a 0 168 15
a 0 181 14
a 0 174 16
a 0 186 4
a 0 89 16
a 0 189 19
a 0 176 3
a 0 120 1
a 0 104 3
a 0 151 16
a 0 53 11
a 0 185 18
a 0 169 12
a 0 124 15
a 0 123 5
a 0 76 17
a 0 55 10
a 0 74 16
a 0 129 18
a 0 98 5
a 0 182 6
a 0 122 6
a 0 197 7
a 1 2 2
a 1 3 14
a 1 4 7
a 1 5 9
a 1 6 19
a 1 7 8
a 1 8 19
a 1 9 2
a 1 10 4
a 1 11 11
a 1 12 17
a 1 13 7
a 1 14 3
a 1 15 2
a 1 16 7
a 1 17 14
a 1 18 17
a 1 19 18
a 1 20 8
a 1 21 10
a 1 22 6
a 1 23 6
a 1 24 1
a 1 25 4
a 1 26 18
a 1 27 6
a 1 28 17
a 1 29 7
a 1 30 8
a 1 31 1
a 1 32 11
a 1 33 16
a 1 34 2
a 1 35 4
a 1 36 4
a 1 37 13
a 1 38 19
a 1 39 6
a 1 40 1
a 1 41 4
a 1 42 5
a 1 43 11
a 1 44 11
a 1 45 18
a 1 46 5
a 1 180 16
a 1 76 7
a 1 184 11
a 1 197 9
a 1 109 3
a 1 50 2
a 1 95 10
a 1 123 11
a 1 143 5
a 1 117 15
a 1 135 3
a 1 158 14
a 1 178 2
a 1 148 13
a 1 140 2
a 1 129 11
a 1 168 3
a 1 154 16
a 1 118 17
a 2 3 3
a 2 4 6
a 2 5 14
a 2 6 16
a 2 7 7
a 2 8 7
a 2 9 13
a 2 10 6
a 2 11 6
a 2 12 9
a 2 13 7
a 2 14 17
a 2 15 17
a 2 16 8
a 2 17 3
a 2 18 4
a 2 19 11
a 2 20 9
a 2 21 5
a 2 22 4
a 2 23 4
a 2 24 10
a 2 25 10
a 2 26 19
a 2 27 5
a 2 28 1
a 2 29 14
a 2 30 8
a 2 31 13
a 2 32 18
a 2 33 15
a 2 34 9
a 2 35 19
a 2 36 10
a 2 37 19
a 2 38 14
a 2 39 3
a 2 40 3
a 2 41 12
a 2 42 15
a 2 43 4
a 2 44 11
a 2 45 14
a 2 46 4
a 2 47 18
a 2 199 16
a 2 88 17
a 2 63 8
a 2 49 14
a 2 95 9
a 2 108 14
a 2 138 12
a 2 127 18
a 2 57 8
a 2 85 9
a 2 62 7
a 2 98 7
a 2 60 13
a 2 48 13
a 2 193 13
a 2 189 4
a 2 185 4
a 2 182 8
a 2 129 6
a 2 184 7
a 2 56 13
a 2 135 10
a 2 177 17
a 3 4 18
a 3 5 12
a 3 6 17
a 3 7 14
a 3 8 16
a 3 9 7
a 3 10 5
a 3 11 18
a 3 12 17
a 3 13 17
a 3 14 14
a 3 15 12
a 3 16 18
a 3 17 5
a 3 18 7
a 3 19 2
a 3 20 5
a 3 21 18
a 3 22 10
a 3 23 3
a 3 24 7
a 3 25 13
a 3 26 18
a 3 27 3
a 3 28 1
a 3 29 2
a 3 30 13
a 3 31 17
a 3 32 11
a 3 33 12
a 3 34 9
a 3 35 1
a 3 36 14
a 3 37 6
a 3 38 15
a 3 39 19
a 3 40 1
a 3 41 5
a 3 42 10
a 3 43 18
a 3 44 8
a 3 45 14
a 3 46 18
a 3 47 5
a 3 48 14
a 3 74 11
a 3 148 17
a 3 132 3
a 3 90 10
a 3 92 9
a 3 112 9
a 3 147 8
a 3 98 2
a 3 138 10
a 3 113 12
a 3 127 10
a 3 71 4
a 3 176 14
a 3 82 3
a 3 114 1
a 4 5 8
a 4 6 7
a 4 7 9
a 4 8 5
a 4 9 10
a 4 10 8
a 4 11 19
a 4 12 7
a 4 13 9
a 4 14 11
a 4 15 14
a 4 16 19
a 4 17 18
a 4 18 14
a 4 19 17
a 4 20 5
a 4 21 7
a 4 22 8
a 4 23 13
a 4 24 8
a 4 25 19
a 4 26 5
a 4 27 3
a 4 28 9
a 4 29 4
a 4 30 18
a 4 31 15
a 4 32 16
a 4 33 9
a 4 34 12
a 4 35 2
a 4 36 1
a 4 37 19
a 4 38 13
a 4 39 8
a 4 40 19
a 4 41 12
a 4 42 15
a 4 43 2
a 4 44 12
a 4 45 15
a 4 46 2
a 4 47 3
a 4 48 1
a 4 49 3
a 4 170 15
a 4 70 13
a 4 149 14
a 4 154 15
a 4 64 12
a 4 76 7
a 4 191 15
a 4 60 7
a 4 65 8
a 4 3 14
a 4 142 1
a 4 180 9
a 4 75 3
a 4 198 18
a 4 133 6
a 4 101 13
a 4 152 16
a 4 62 11
a 4 141 1
a 5 6 6
a 5 7 16
a 5 8 12
a 5 9 1
a 5 10 18
a 5 11 9
a 5 12 11
a 5 13 4
a 5 14 3
a 5 15 11
a 5 16 10
a 5 17 19
a 5 18 12
a 5 19 7
a 5 20 10
a 5 21 14
a 5 22 18
a 5 23 10
a 5 24 7
a 5 25 4
a 5 26 19
a 5 27 15
a 5 28 8
a 5 29 12
a 5 30 3
a 5 31 16
a 5 32 8
a 5 33 5
a 5 34 12
a 5 35 9
a 5 36 17
a 5 37 15
a 5 38 17
a 5 39 11
a 5 40 13
a 5 41 9
a 5 42 4
a 5 43 14
a 5 44 15
a 5 45 11
a 5 46 14
a 5 47 19
a 5 48 10
a 5 49 8
a 5 50 5
a 5 168 7
a 5 107 17
a 5 58 15
a 5 182 3
a 5 83 12
a 5 100 10
a 5 122 13
a 5 114 13
a 5 176 10
a 5 59 9
a 5 170 1
a 5 144 14
a 5 138 18
a 5 112 8
a 5 172 4
a 5 188 7
a 5 74 17
a 5 134 19
a 5 164 15
a 5 95 10
a 5 139 1
a 5 150 17
a 5 99 8
a 5 181 9
a 5 103 1
a 5 124 15
