notes: n=400, m=17967, elb=1, eub=20, conf_density=2e-05, clb=25, cub= 200, seed= 9763
p spec 400 17967 3227
s 137
t 337
a 0 1 2
a 0 2 13
a 0 3 8
a 0 4 5
a 0 5 17
a 0 6 8
a 0 7 10
a 0 8 12
a 0 9 1
a 0 10 11
a 0 11 6
a 0 12 14
a 0 13 11
a 0 14 10
a 0 15 9
a 0 16 12
a 0 17 19
a 0 18 16
a 0 19 9
a 0 20 11
a 0 21 7
a 0 22 15
a 0 23 6
a 0 24 12
a 0 25 2
a 0 26 8
a 0 27 7
a 0 28 2
a 0 29 16
a 0 30 5
a 0 130 14
a 0 172 19
a 0 38 8
a 0 58 16
a 0 145 11
a 0 391 14
a 0 307 11
a 0 294 14
a 0 40 18
a 0 250 3
a 0 73 1
a 0 89 12
a 0 209 6
a 0 111 17
a 0 128 16
a 0 131 5
a 1 2 10
a 1 3 9
a 1 4 19
a 1 5 5
a 1 6 5
a 1 7 16
a 1 8 1
a 1 9 5
a 1 10 15
a 1 11 11
a 1 12 13
a 1 13 1
a 1 14 8
a 1 15 4
a 1 16 13
a 1 17 7
a 1 18 10
a 1 19 7
a 1 20 17
a 1 21 6
a 1 22 1
a 1 23 5
a 1 24 15
a 1 25 7
a 1 26 18
a 1 27 2
a 1 28 15
a 1 29 11
a 1 30 14
a 1 31 9
a 1 262 1
a 1 284 9
a 1 209 18
a 1 312 5
a 1 334 12
a 1 179 7
a 1 217 3
a 1 221 8
a 1 172 17
a 1 381 1
a 1 158 17
a 1 191 2
a 1 272 19
a 1 115 8
a 2 3 9
a 2 4 8
a 2 5 6
a 2 6 18
a 2 7 17
a 2 8 17
a 2 9 17
a 2 10 7
a 2 11 5
a 2 12 2
a 2 13 3
a 2 14 4
a 2 15 17
a 2 16 16
a 2 17 9
a 2 18 8
a 2 19 14
a 2 20 10
a 2 21 16
a 2 22 8
a 2 23 9
a 2 24 17
a 2 25 11
a 2 26 8
a 2 27 10
a 2 28 11
a 2 29 7
a 2 30 16
a 2 31 8
a 2 32 12
a 2 45 4
a 2 97 15
a 2 104 19
a 2 323 5
a 2 0 13
a 2 164 4
a 2 197 7
a 2 385 15
a 2 162 5
a 2 171 19
a 2 67 12
a 2 82 16
a 2 228 2
a 2 186 5
a 2 337 13
a 2 216 12
a 3 4 6
a 3 5 6
a 3 6 10
a 3 7 12
a 3 8 16
a 3 9 14
a 3 10 16
a 3 11 11
a 3 12 18
a 3 13 10
a 3 14 4
a 3 15 8
a 3 16 18
a 3 17 10
a 3 18 13
a 3 19 15
a 3 20 15
a 3 21 7
a 3 22 12
a 3 23 7
a 3 24 3
a 3 25 3
a 3 26 1
a 3 27 18
a 3 28 12
a 3 29 17
a 3 30 17
a 3 31 11
a 3 32 8
a 3 33 18
a 3 397 5
a 3 48 16
a 3 266 14
a 3 111 4
a 3 343 11
a 3 327 6
a 3 378 1
a 3 161 4
a 3 163 1
a 3 222 19
a 3 37 9
a 3 87 14
a 3 365 19
a 3 297 4
a 3 358 2
a 3 92 15
a 4 5 5
a 4 6 17
a 4 7 2
a 4 8 15
a 4 9 15
a 4 10 2
a 4 11 8
a 4 12 14
a 4 13 1
a 4 14 17
a 4 15 3
a 4 16 13
a 4 17 14
a 4 18 11
a 4 19 15
a 4 20 11
a 4 21 3
a 4 22 9
a 4 23 10
a 4 24 9
a 4 25 4
a 4 26 7
a 4 27 17
a 4 28 9
a 4 29 3
a 4 30 8
a 4 31 13
a 4 32 6
a 4 33 3
a 4 34 16
a 4 259 12
a 4 282 7
a 4 317 18
a 4 169 11
a 4 314 16
a 4 248 3
a 4 391 1
a 4 341 15
a 4 345 13
a 4 122 16
a 4 142 13
a 4 385 18
a 4 395 18
a 4 76 17
a 4 267 13
a 5 6 10
a 5 7 17
a 5 8 1
a 5 9 16
a 5 10 12
a 5 11 6
a 5 12 3
a 5 13 6
a 5 14 16
a 5 15 15
a 5 16 16
a 5 17 13
a 5 18 10
a 5 19 13
a 5 20 7
a 5 21 19
a 5 22 8
a 5 23 17
a 5 24 3
a 5 25 5
a 5 26 9
a 5 27 7
a 5 28 17
a 5 29 19
a 5 30 7
a 5 31 9
a 5 32 9
a 5 33 3
a 5 34 18
a 5 35 11
a 5 223 13
a 5 279 4
a 5 393 18
a 5 229 10
a 5 210 5
a 5 163 19
a 5 94 16
a 5 61 12
a 5 147 1
a 5 301 10
a 5 275 16
a 5 233 7
a 5 37 17
a 5 352 14
a 6 7 6
a 6 8 14
a 6 9 17
a 6 10 9
a 6 11 1
a 6 12 2
a 6 13 14
a 6 14 13
a 6 15 7
a 6 16 16
a 6 17 15
a 6 18 1
a 6 19 4
a 6 20 17
a 6 21 3
a 6 22 6
a 6 23 14
a 6 24 14
a 6 25 9
a 6 26 12
a 6 27 16
a 6 28 3
a 6 29 18
a 6 30 9
a 6 31 6
a 6 32 17
a 6 33 15
a 6 34 2
a 6 35 5
a 6 36 3
a 6 252 13
a 6 379 9
a 6 107 10
a 6 67 4
a 6 209 17
a 6 341 9
a 6 373 8
a 6 42 13
a 6 118 5
a 6 327 10
a 6 269 10
a 6 290 3
a 7 8 4
a 7 9 4
a 7 10 5
a 7 11 18
a 7 12 3
a 7 13 18
a 7 14 9
a 7 15 13
a 7 16 5
a 7 17 13
a 7 18 9
a 7 19 14
a 7 20 18
a 7 21 16
a 7 22 10
a 7 23 17
a 7 24 17
a 7 25 18
a 7 26 10
a 7 27 4
a 7 28 19
a 7 29 6
a 7 30 5
a 7 31 1
a 7 32 1
a 7 33 16
a 7 34 4
a 7 35 6
a 7 36 17
a 7 37 10
a 7 265 7
a 7 143 11
a 7 177 16
a 7 395 4
a 7 56 10
a 7 325 4
a 7 369 5
a 7 349 16
a 7 106 11
a 7 6 4
a 7 70 11
a 7 302 9
a 7 345 8
a 8 9 11
a 8 10 9
a 8 11 14
a 8 12 15
a 8 13 1
a 8 14 5
a 8 15 6
a 8 16 2
a 8 17 8
a 8 18 16
a 8 19 15
a 8 20 12
a 8 21 12
a 8 22 5
a 8 23 14
a 8 24 17
a 8 25 11
a 8 26 3
a 8 27 11
a 8 28 13
a 8 29 14
a 8 30 18
a 8 31 11
a 8 32 1
a 8 33 16
a 8 34 9
a 8 35 5
a 8 36 11
a 8 37 13
a 8 38 6
a 8 277 5
a 8 226 5
a 8 189 4
a 8 361 12
a 8 153 19
a 8 312 14
a 8 76 9
a 8 290 1
a 8 181 5
a 9 10 4
a 9 11 13
a 9 12 11
a 9 13 11
a 9 14 18
a 9 15 11
a 9 16 12
a 9 17 12
